segment_id,lat_cell,lon_cell,detections
0,-2.4,-48.7,8
0,64.0,46.8,2
0,35.0,46.3,2
0,-22.6,-46.1,3
0,-6.6,25.3,63
0,40.6,68.8,8
0,39.9,119.7,3
0,17.3,-99.8,4
0,30.2,-97.6,1
0,8.9,23.0,1
0,-22.1,-46.2,8
0,-3.6,-51.8,1
0,-21.3,32.4,1
0,-5.7,18.8,160
0,-16.2,136.4,2
0,10.7,123.1,2
0,63.5,-152.2,13
0,34.0,-90.7,2
0,-21.2,32.1,1
0,25.7,86.2,1
0,-4.0,-44.5,19
0,-2.4,111.7,1
0,47.9,-99.5,2
0,34.4,108.4,3
0,27.7,80.0,1
0,28.3,-81.4,3
0,40.9,26.3,3
0,-11.3,30.9,173
0,-23.1,-60.0,45
0,-0.8,101.1,4
0,-5.6,-36.8,1
0,1.6,109.7,8
0,42.5,128.0,2
0,-37.1,143.8,1
0,-16.0,19.0,50
0,5.3,34.0,11
0,-1.6,34.3,1
0,-23.7,-47.3,16
0,17.3,121.6,5
0,5.4,5.1,1
0,-21.0,29.4,1
0,32.3,-96.4,1
0,-32.5,27.6,7
0,-13.8,-63.4,27
0,-1.8,17.7,73
0,-24.7,-49.6,1
0,11.7,31.2,4
0,-33.4,20.9,1
0,5.3,-69.1,5
0,52.9,31.3,3
0,15.8,-95.9,2
0,37.2,116.5,1
0,-44.8,-68.2,1
0,39.8,42.2,2
0,-12.5,39.6,79
0,28.1,104.5,25
0,0.1,111.8,11
0,25.4,50.1,89
0,-13.8,48.4,10
0,-10.4,34.5,5
0,40.0,-2.2,4
0,53.3,40.4,1
0,22.7,-105.0,32
0,-18.5,-45.2,4
0,-20.3,-43.7,1
0,-19.9,20.6,43
0,29.2,52.7,2
0,-15.8,32.6,28
0,36.1,-88.1,1
0,-11.6,29.5,116
0,38.9,-7.6,4
0,41.4,27.0,1
0,-18.5,-40.4,4
0,18.1,-95.4,4
0,-38.3,141.6,2
0,-17.2,-45.9,19
0,-6.5,-47.4,9
0,-23.2,-52.5,2
0,-29.0,-66.4,1
0,-29.4,29.4,21
0,49.7,3.6,1
0,40.3,110.3,1
0,-33.1,-68.9,1
0,-26.3,149.3,2
0,-4.9,-44.2,3
0,51.7,11.3,1
0,31.0,-91.3,1
0,33.2,-104.8,1
0,-7.0,29.4,193
0,-28.4,152.6,3
0,12.4,-6.3,3
0,-7.1,146.5,5
0,-13.9,31.9,42
0,30.9,-100.0,1
0,21.7,-98.5,2
0,24.2,103.0,2
0,28.4,-82.6,10
0,32.4,51.2,33
0,-34.0,24.4,16
0,-2.9,-68.5,1
0,44.8,-120.8,20
0,-8.4,-42.1,1
0,13.1,-11.3,1
0,-12.4,30.4,182
0,50.3,-98.0,2
0,16.9,-96.3,1
0,-15.0,36.0,151
0,-9.2,141.9,3
0,-16.8,14.0,1
0,6.6,-8.7,1
0,21.0,-103.2,1
0,8.8,-5.5,1
0,9.3,19.0,2
0,-44.5,171.0,1
0,12.7,-14.5,8
0,-17.3,-53.6,1
0,-24.0,-47.5,3
0,40.4,-76.5,3
0,36.1,37.6,1
0,49.0,38.0,104
0,-4.5,122.1,5
0,-17.0,44.2,3
0,54.3,86.9,2
0,37.7,65.4,62
0,43.5,22.2,2
0,-11.2,25.6,175
0,7.1,-60.1,1
0,-16.3,19.6,67
0,-24.0,-57.7,3
0,-28.5,-56.0,1
0,48.4,15.0,1
0,16.6,-97.7,9
0,39.3,-121.1,2
0,-30.3,-66.8,1
0,-3.4,-44.9,2
0,-16.3,-48.8,23
0,-29.8,-50.8,1
0,49.4,12.1,3
0,-22.5,122.3,107
0,34.6,36.1,3
0,2.5,-73.1,2
0,-12.3,-59.3,16
0,51.4,35.2,4
0,-19.7,147.2,1
0,-22.0,15.8,3
0,-17.1,22.3,90
0,-10.2,20.0,150
0,44.6,46.2,11
0,49.0,10.0,1
0,19.5,94.8,1
0,18.6,79.4,5
0,35.8,-92.5,1
0,36.7,38.0,2
0,-23.5,-53.8,3
0,-14.5,29.4,105
0,51.9,77.4,1
0,-3.9,-41.7,60
0,-5.1,23.3,94
0,-21.5,25.5,1
0,26.6,-80.7,4
0,-30.5,151.6,1
0,39.9,-85.4,2
0,16.2,-94.8,2
0,13.4,25.4,2
0,5.9,102.1,1
0,33.1,116.0,2
0,-1.5,115.8,7
0,43.7,126.0,1
0,47.8,33.4,933
0,45.5,20.5,7
0,-4.0,12.3,26
0,31.1,104.2,2
0,-27.2,-51.5,4
0,49.3,38.5,2
0,43.5,-7.3,20
0,-22.7,-60.3,2
0,-16.5,-63.7,5
0,-18.4,-66.1,3
0,1.0,30.5,3
0,-27.1,-54.6,10
0,29.2,61.6,3
0,-21.5,-56.2,2
0,-6.3,26.6,131
0,-17.2,33.7,76
0,-9.9,24.1,175
0,36.9,-89.2,1
0,-9.1,-46.1,33
0,44.3,129.0,2
0,-1.3,31.6,41
0,11.9,39.5,1
0,10.1,16.2,3
